Dimension,Bucket,CorrectPredictions,TotalMatches,Accuracy
Division,11U,130,176,73.86363636363636
Division,12 & Under,150,161,93.16770186335404
Division,12 & Under Boys,41,55,74.54545454545455
Division,12 & Under Girls,3,4,75
Division,12 and Under,111,150,74
Division,12-14U Novice,0,1,0
Division,12-U,240,256,93.75
Division,12-under,1738,2184,79.57875457875457
Division,12-Under Girls,169,226,74.77876106194691
Division,12-under Lower State,39,48,81.25
Division,12-under Novice,27,29,93.10344827586206
Division,12-under Open,998,1220,81.8032786885246
Division,12-under Rookie,1036,1262,82.0919175911252
Division,12-under Rookie/Novice,335,444,75.45045045045045
Division,12-under Upper State,32,35,91.42857142857143
Division,124,11,13,84.61538461538461
Division,12th Annual,17,25,68
Division,12U,13798,16677,82.73670324398873
Division,12U (Novice),26,35,74.28571428571429
Division,12U - 14U,63,71,88.73239436619718
Division,12U 1st Year,60,92,65.21739130434783
Division,12U B,33,53,62.264150943396224
Division,12U Boys,205,262,78.2442748091603
Division,12U Boys Folkstyle,42,61,68.85245901639344
Division,12U Boys Freestyle,234,281,83.27402135231317
Division,12U Boys Greco-Roman,146,190,76.84210526315789
Division,12U F/S,3,7,42.857142857142854
Division,12U First Year,7,10,70
Division,"12U folkstyle ",22,27,81.48148148148148
Division,12U Freestyle,59,74,79.72972972972973
Division,12U G/R,3,6,50
Division,12U Girls,63,78,80.76923076923077
Division,12U Girls F/S,2,2,100
Division,12U Girls Freestyle,20,20,100
Division,12U Girls Greco-Roman,4,4,100
Division,"12U Greco ",8,10,80
Division,12U Greco-Roman,29,35,82.85714285714286
Division,12U Men,31,45,68.88888888888889
Division,12U Novice,340,469,72.49466950959487
Division,12u Open,308,360,85.55555555555556
Division,12U ROOKIE,28,36,77.77777777777779
Division,12u rookie/novice,23,29,79.3103448275862
Division,12U TB,6,7,85.71428571428571
Division,12u-14,8,8,100
Division,12U-14U,544,628,86.62420382165605
Division,12U-14U Girls,2,2,100
Division,12U-14U NOVICE,23,24,95.83333333333334
Division,12U-G,10,10,100
Division,12U/14U,6,6,100
Division,12U/14U Freestyle,2,2,100
Division,12UB,8,11,72.72727272727273
Division,13 and Under,39,51,76.47058823529412
Division,131,24,27,88.88888888888889
Division,138,10,10,100
Division,138 & 144 Fix,2,2,100
Division,14 & Under Boys,122,149,81.87919463087249
Division,14 & Under Girls,8,11,72.72727272727273
Division,14 and Under,4,4,100
Division,14 girls,0,1,0
Division,14-U,16,18,88.88888888888889
Division,14-under Girls,5,5,100
Division,14-under Open,50,53,94.33962264150944
Division,140-235,16,18,88.88888888888889
Division,142,1,1,100
Division,145,13,13,100
Division,14U,9133,11159,81.84425127699615
Division,14U & 16U,13,13,100
Division,14U (Schoolboy),49,78,62.82051282051282
Division,14U - HS,3,6,50
Division,14U 1st Year,63,90,70
Division,14U B,49,70,70
Division,14U Boys,330,416,79.32692307692307
Division,14U Boys Folkstyle,86,98,87.75510204081633
Division,14U Boys Freestyle,328,417,78.65707434052757
Division,14U Boys Greco-Roman,181,235,77.02127659574468
Division,14U F/S,42,50,84
Division,14U First Year,6,8,75
Division,14U FOLKSTYLE,45,57,78.94736842105263
Division,14U Freestyle,89,114,78.0701754385965
Division,14U G/R,19,30,63.33333333333333
Division,14U GIRLS,52,69,75.36231884057972
Division,14U Girls Folkstyle,2,2,100
Division,14U Girls Freestyle,50,61,81.9672131147541
Division,14U Girls Greco-Roman,15,16,93.75
Division,14U greco,20,31,64.51612903225806
Division,14U Greco-Roman,37,50,74
Division,14U Men,48,62,77.41935483870968
Division,"14U Middle School ",64,82,78.04878048780488
Division,14U Novice,221,338,65.38461538461539
Division,14U OPEN,345,415,83.13253012048193
Division,14U Rookie,7,9,77.77777777777779
Division,14U Women,0,2,0
Division,14U/16U,62,89,69.66292134831461
Division,14UB,1,1,100
Division,15 and Under,220,321,68.53582554517133
Division,15-u rookie,1,1,100
Division,15-under,396,519,76.30057803468208
Division,15-under Girls,106,142,74.64788732394366
Division,15-under Lower State,14,14,100
Division,15-under Novice,12,17,70.58823529411765
Division,15-under Open,280,374,74.8663101604278
Division,15-under Rookie,218,275,79.27272727272727
Division,15-under Rookie/Novice,64,86,74.4186046511628
